| Date       | Added                  | Removed          | Source                                             |
| ---------- | ---------------------- | ---------------- | -------------------------------------------------- |
| 2019‑01‑15 | TFX                    | PCG              | Wikipedia – S\&P change                            |
| 2019‑02‑15 | ATO                    | NFX              | Wikipedia                                          |
| 2019‑02‑27 | WAB                    | GT               | Wikipedia                                          |                                        |
| 2019‑04‑02 | DOW                    | BHF              | Wikipedia                                          |
| 2019‑06‑03 | CTVA                   | FLR              | Wikipedia                                          |
| 2019‑06‑07 | BMS                    | MAT              | Wikipedia                                          |
| 2019‑06‑11 | AMCR                   | BMS              | Wikipedia                                          |
| 2019‑07‑01 | MKTX                   | LLL              | Wikipedia                                          |
| 2019‑07‑15 | TMUS                   | RHT              | Wikipedia                                          |
| 2019‑08‑09 | LDOS                   | APC              | Wikipedia                                          |
| 2019‑08‑09 | IEX                    | FL               | Wikipedia                                          |
| 2019‑09‑23 | CDW                    | TSS              | Wikipedia                                          |
| 2019‑09‑26 | NVR                    | JEF              | Wikipedia                                          |
| 2019‑10‑03 | LVS                    | NKTR             | Wikipedia                                          |
| 2019‑11‑21 | NOW                    | CELG             | Wikipedia                                          |
| 2019‑12‑05 | WRB                    | VIAB             | Wikipedia                                          |
| 2019‑12‑09 | ODFL                   | STI              | Wikipedia                                          |
| 2019‑12‑23 | LYV                    | AMG              | Wikipedia                                          |
| 2019‑12‑23 | ZBRA                   | TRIP             | Wikipedia                                          |
| 2019‑12‑23 | STE                    | MAC              | Wikipedia                                          |
| 2020‑01‑22 | PAYC                   | WCG              | Wikipedia                                          |
| 2020‑03‑02 | IR                     | XEC              | Wikipedia                                          |
| 2020‑04‑01 | HWM                    | ARNC             | Wikipedia                                          |
| 2020‑04‑03 | OTIS                   | —                | Wikipedia                                          |
| 2020‑04‑03 | CARR                   | —                | Wikipedia                                          |
| 2020‑05‑12 | DPZ                    | CPRI             | Wikipedia                                          |
| 2020‑05‑12 | DXCM                   | AGN              | Wikipedia                                          |
| 2020‑05‑22 | WST                    | HP               | Wikipedia                                          |
| 2020‑06‑22 | BIO                    | ADS              | Wikipedia                                          |
| 2020‑06‑22 | TDY                    | HOG              | Wikipedia                                          |
| 2020‑06‑22 | TYL                    | JWN              | Wikipedia                                          |
| 2020‑09‑21 | ETSY                   | HRB              | Wikipedia                                          |
| 2020‑09‑21 | TER                    | COTY             | Wikipedia                                          |
| 2020‑09‑21 | CTLT                   | KSS              | Wikipedia                                          |
| 2020‑10‑07 | POOL                   | ETFC             | Wikipedia                                          |
| 2020‑10‑09 | VNT                    | —                | Wikipedia                                          |
| 2020‑12‑11 | TSLA                   | AIV              | Wikipedia & S\&P press ([News Release Archive][1]) |
| 2020-12-30 | ENPH                   | TIF              | Wikipedia                                          |                                    |
| 2021-01-21 | TRMB                   | CXO              | Wikipedia                                          |
| 2021-02-12 | MPWR                   | FTI              | Wikipedia                                          |
| 2021-03-22 | NXPI                   | FLS              | Wikipedia                                          |
| 2021-03-22 | PENN                   | SLG              | Wikipedia                                          |
| 2021-03-22 | GNRC                   | XRX              | Wikipedia                                          |
| 2021-03-22 | CZR                    | VNT              | Wikipedia                                          |
| 2021-04-20 | PTC                    | VAR              | Wikipedia                                          |
| 2021-05-14 | CRL                    | FLIR             | Wikipedia                                          |
| 2021-06-03 | OGN                    | —                | Wikipedia                                          |
| 2021-06-04 | —                      | HFC              | Wikipedia                                          |
| 2021-07-21 | MRNA                   | ALXN             | Wikipedia                                          |
| 2021-08-30 | TECH                   | MXIM             | Wikipedia                                          |
| 2021-09-20 | MTCH                   | PRGO             | Wikipedia                                          |
| 2021-09-20 | CDAY                   | UNM              | Wikipedia                                          |
| 2021-09-20 | BRO                    | NOV              | Wikipedia                                          |
| 2021-12-14 | EPAM                   | KSU              | Wikipedia                                          |
| 2021-12-20 | SBNY                   | LEG              | Wikipedia                                          |
| 2021-12-20 | SEDG                   | HBI              | Wikipedia                                          |
| 2021-12-20 | FDS                    | WU               | Wikipedia                                          |
| 2022-01-26 | CEG                    | —                | Wikipedia                                          |
| 2022-02-02 | NDSN                   | XLNX             | Wikipedia                                          |
| 2022-02-03 | —                      | GPS              | Wikipedia                                          |
| 2022-03-02 | MOH                    | INFO             | Wikipedia                                          |
| 2022-04-04 | CPT                    | PBCT             | Wikipedia                                          |
| 2022-04-11 | WBD                    | DISCA            | Wikipedia                                          |
| 2022-04-11 | —                      | DISCK            | Wikipedia                                          |
| 2022-06-08 | VICI                   | CERN             | Wikipedia                                          |
| 2022-06-21 | —                      | UA               | Wikipedia                                          |
| 2022-06-21 | KDP                    | UAA              | Wikipedia                                          |
| 2022-06-21 | ON                     | IPGP             | Wikipedia                                          |
| 2022-09-19 | CSGP                   | PVH              | Wikipedia                                          |
| 2022-09-19 | INVH                   | PENN             | Wikipedia                                          |
| 2022-10-03 | PCG                    | CTXS             | Wikipedia                                          |
| 2022-10-03 | EQT                    | DRE              | Wikipedia                                          |
| 2022-10-12 | TRGP                   | NLSN             | Wikipedia                                          |
| 2022-11-01 | ACGL                   | TWTR             | Wikipedia                                          |
| 2022-12-19 | FSLR                   | FBHS             | Wikipedia                                          |
| 2022-12-19 | —                      | MBC              | Wikipedia                                          |
| 2022-12-22 | STLD                   | ABMD             | Wikipedia                                          |

